"住所CD","都道府県CD","市区町村CD","町域CD","郵便番号","事業所フラグ","廃止フラグ","都道府県","都道府県カナ","市区町村","市区町村カナ","町域","町域カナ","町域補足","京都通り名","字丁目","字丁目カナ","補足","事業所名","事業所名カナ","事業所住所","新住所CD"
520000000,25,25201,252010000,"520-0000",0,0,"滋賀県","シガケン","大津市","オオツシ",,"　","（該当なし）",,,,,,,,
520210100,25,25201,252010001,"520-2101",0,0,"滋賀県","シガケン","大津市","オオツシ","青山","アオヤマ",,,,,,,,,
520086400,25,25201,252010002,"520-0864",0,0,"滋賀県","シガケン","大津市","オオツシ","赤尾町","アカオチョウ",,,,,,,,,
520000300,25,25201,252010003,"520-0003",0,0,"滋賀県","シガケン","大津市","オオツシ","あかね町","アカネチョウ",,,,,,,,,
520082200,25,25201,252010004,"520-0822",0,0,"滋賀県","シガケン","大津市","オオツシ","秋葉台","アキバダイ",,,,,,,,,
520053300,25,25201,252010005,"520-0533",0,0,"滋賀県","シガケン","大津市","オオツシ","朝日","アサヒ",,,,,,,,,
520005200,25,25201,252010006,"520-0052",0,0,"滋賀県","シガケン","大津市","オオツシ","朝日が丘","アサヒガオカ",,,,,,,,,
520011400,25,25201,252010007,"520-0114",0,0,"滋賀県","シガケン","大津市","オオツシ","穴太","アノウ",,,,,,,,,
520051300,25,25201,252010008,"520-0513",0,0,"滋賀県","シガケン","大津市","オオツシ","荒川","アラカワ",,,,,,,,,
520083200,25,25201,252010009,"520-0832",0,0,"滋賀県","シガケン","大津市","オオツシ","粟津町","アワヅチョウ",,,,,,,,,
520035600,25,25201,252010010,"520-0356",0,0,"滋賀県","シガケン","大津市","オオツシ","伊香立上在地町","イカダチカミザイジチョウ",,,,,,,,,
520036200,25,25201,252010011,"520-0362",0,0,"滋賀県","シガケン","大津市","オオツシ","伊香立上龍華町","イカダチカミリュウゲチョウ",,,,,,,,,
520035100,25,25201,252010012,"520-0351",0,0,"滋賀県","シガケン","大津市","オオツシ","伊香立北在地町","イカダチキタザイジチョウ",,,,,,,,,
520035200,25,25201,252010013,"520-0352",0,0,"滋賀県","シガケン","大津市","オオツシ","伊香立下在地町","イカダチシモザイジチョウ",,,,,,,,,
520036300,25,25201,252010014,"520-0363",0,0,"滋賀県","シガケン","大津市","オオツシ","伊香立下龍華町","イカダチシモリュウゲチョウ",,,,,,,,,
520036100,25,25201,252010015,"520-0361",0,0,"滋賀県","シガケン","大津市","オオツシ","伊香立途中町","イカダチトチュウチョウ",,,,,,,,,
520035500,25,25201,252010016,"520-0355",0,0,"滋賀県","シガケン","大津市","オオツシ","伊香立生津町","イカダチナマヅチョウ",,,,,,,,,
520035400,25,25201,252010017,"520-0354",0,0,"滋賀県","シガケン","大津市","オオツシ","伊香立南庄町","イカダチミナミショウチョウ",,,,,,,,,
520035300,25,25201,252010018,"520-0353",0,0,"滋賀県","シガケン","大津市","オオツシ","伊香立向在地町","イカダチムカイザイジチョウ",,,,,,,,,
520082700,25,25201,252010019,"520-0827",0,0,"滋賀県","シガケン","大津市","オオツシ","池の里","イケノサト",,,,,,,,,
520227200,25,25201,252010020,"520-2272",0,0,"滋賀県","シガケン","大津市","オオツシ","石居","イシズエ",,,,,,,,,
520080500,25,25201,252010021,"520-0805",0,0,"滋賀県","シガケン","大津市","オオツシ","石場","イシバ",,,,,,,,,
520086900,25,25201,252010022,"520-0869",0,0,"滋賀県","シガケン","大津市","オオツシ","石山内畑町","イシヤマウチハタチョウ",,,,,,,,,
520086000,25,25201,252010023,"520-0860",0,0,"滋賀県","シガケン","大津市","オオツシ","石山千町","イシヤマセンチョウ",,,,,,,,,
520086800,25,25201,252010024,"520-0868",0,0,"滋賀県","シガケン","大津市","オオツシ","石山外畑町","イシヤマソトハタチョウ",,,,,,,,,
520086100,25,25201,252010025,"520-0861",0,0,"滋賀県","シガケン","大津市","オオツシ","石山寺","イシヤマデラ",,,,,,,,,
520086600,25,25201,252010026,"520-0866",0,0,"滋賀県","シガケン","大津市","オオツシ","石山寺辺町","イシヤマテラベチョウ",,,,,,,,,
520215300,25,25201,252010027,"520-2153",0,0,"滋賀県","シガケン","大津市","オオツシ","一里山","イチリヤマ",,,,,,,,,
520227100,25,25201,252010028,"520-2271",0,0,"滋賀県","シガケン","大津市","オオツシ","稲津","イナヅ",,,,,,,,,
520006500,25,25201,252010029,"520-0065",0,0,"滋賀県","シガケン","大津市","オオツシ","稲葉台","イナバダイ",,,,,,,,,
520024100,25,25201,252010030,"520-0241",0,0,"滋賀県","シガケン","大津市","オオツシ","今堅田","イマカタタ",,,,,,,,,
520028700,25,25201,252010030,"520-0287",1,0,"滋賀県","シガケン","大津市","オオツシ","今堅田","イマカタタ",,,,,,"滋賀地域センター","シガチイキセンタ－","今堅田２丁目２１－２６",
520080600,25,25201,252010031,"520-0806",0,0,"滋賀県","シガケン","大津市","オオツシ","打出浜","ウチデハマ",,,,,,,,,
520850100,25,25201,252010031,"520-8501",1,0,"滋賀県","シガケン","大津市","オオツシ","打出浜","ウチデハマ",,,,,,"滋賀県警察本部","シガケンケイサツホンブ","打出浜１番１０号",
520005100,25,25201,252010032,"520-0051",0,0,"滋賀県","シガケン","大津市","オオツシ","梅林","ウメバヤシ",,,,,,,,,
520851300,25,25201,252010032,"520-8513",1,0,"滋賀県","シガケン","大津市","オオツシ","梅林","ウメバヤシ",,,,,,"全国健康保険協会　滋賀支部","ゼンコクケンコウホケンキヨウカイ　シガシブ","梅林１丁目３－１０滋賀ビル",
520227500,25,25201,252010033,"520-2275",0,0,"滋賀県","シガケン","大津市","オオツシ","枝","エダ",,,,,,,,,
520006400,25,25201,252010034,"520-0064",0,0,"滋賀県","シガケン","大津市","オオツシ","追分町","オイワケチョウ",,,,,,,,,
520005400,25,25201,252010035,"520-0054",0,0,"滋賀県","シガケン","大津市","オオツシ","逢坂","オウサカ",,,,,,,,,
520002500,25,25201,252010036,"520-0025",0,0,"滋賀県","シガケン","大津市","オオツシ","皇子が丘","オウジガオカ",,,,,,,,,
